Date,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y
Y5-M08-D25,126.91,152.28,238.35,55.97,6.89,7.69,75.46,0.82,32.8,241.59,318.27,243.05,465.36,206.09,41.91,22.37,153.28,38.77,51.88,42.37,67.36,118.92,108.99,3.21,32.17
Y5-M08-D26,126.15,152.06,237.76,55.81,6.6,7.72,74.26,0.84,33.33,238.64,322.67,242.38,455.64,198.39,42.07,22.13,153.82,37.63,50.85,42.58,66.23,118.5,107.84,3.19,31.98
Y5-M08-D27,127.17,153.41,242.45,56.54,6.67,7.52,73.95,0.9,34.76,240.06,326.18,240.01,437.13,197.38,41.57,22.06,153.19,38.23,50.72,43.24,65.96,112.29,106.44,3.22,31.27
Y5-M08-D28,127.8,152.02,236.05,55.71,6.69,7.61,71.5,0.89,36.79,242.76,308.18,232.6,449.35,195.35,41.45,21.69,151.61,39.87,49.16,42.83,64.96,111.59,108.07,3.24,31.09
Y5-M08-D31,127.38,150.27,235.92,53.12,6.7,7.95,73.0,0.89,38.86,250.4,313.2,226.18,428.17,192.06,42.1,21.68,149.54,39.03,48.01,41.69,63.38,106.62,109.14,3.1,30.94
Y5-M09-D01,124.82,148.14,229.38,51.32,6.3,7.98,74.65,0.89,37.19,246.25,317.64,230.11,427.36,189.94,43.82,21.69,145.79,37.69,47.54,42.19,65.63,107.9,107.72,3.04,29.73
Y5-M09-D02,123.58,146.42,227.23,49.43,6.19,7.85,72.78,0.9,41.01,258.78,314.18,226.77,419.86,184.28,41.44,21.64,144.87,36.73,47.25,42.85,65.03,102.47,104.23,3.09,29.74
Y5-M09-D03,123.0,147.13,231.68,48.77,5.93,7.9,73.4,1.01,41.91,263.37,294.83,221.43,405.89,185.19,40.84,21.73,146.2,37.93,48.58,43.0,65.42,96.43,104.69,3.02,30.61
Y5-M09-D04,122.94,145.65,220.57,48.06,5.84,7.81,74.08,0.94,42.95,261.31,293.91,227.43,394.92,184.7,41.5,21.25,143.82,37.18,48.25,42.86,67.41,94.02,100.75,3.14,31.75
Y5-M09-D07,121.93,146.05,208.27,48.41,5.89,7.96,74.2,0.92,42.84,264.88,299.03,222.05,395.04,182.11,40.01,21.56,145.65,37.25,48.7,43.01,68.82,87.35,101.17,3.06,29.42
Y5-M09-D08,124.26,144.46,207.04,46.92,5.95,8.26,77.35,0.96,43.08,251.45,309.87,222.43,392.38,186.06,40.57,21.51,146.68,37.1,49.04,42.92,69.21,86.41,101.2,3.05,29.19
Y5-M09-D09,123.05,143.13,207.87,47.03,5.76,8.29,77.54,1.0,42.22,260.0,318.0,222.15,390.85,188.17,40.61,21.41,145.58,37.34,49.36,43.09,69.36,91.59,106.6,3.13,29.56
Y5-M09-D10,121.81,143.26,204.87,46.78,5.91,8.0,77.39,1.01,44.19,257.67,319.67,222.11,384.66,181.96,41.79,21.81,147.57,40.0,48.87,44.1,67.79,94.96,105.99,3.14,28.0
Y5-M09-D11,120.3,142.99,199.89,48.17,6.06,8.31,75.39,1.03,45.89,271.58,309.86,219.24,376.61,180.25,41.66,21.78,146.32,38.98,49.38,43.45,70.02,102.17,107.42,3.21,28.39
Y5-M09-D14,120.41,142.31,196.29,47.08,6.06,8.49,76.95,1.09,43.66,274.35,329.6,220.57,380.68,181.94,40.95,21.83,146.74,40.21,48.17,44.78,72.74,103.85,106.85,3.22,28.5
Y5-M09-D15,117.46,143.12,202.34,47.41,6.21,8.44,76.85,1.15,43.95,285.65,328.55,214.46,368.75,180.88,40.12,21.42,148.19,40.01,47.29,45.81,72.34,105.15,103.33,3.25,27.43
Y5-M09-D16,118.18,142.06,201.97,46.34,6.41,8.52,76.28,1.13,44.3,276.4,343.25,213.81,368.99,184.48,41.2,21.78,149.21,43.18,50.22,46.48,71.55,116.59,105.05,3.21,27.6
Y5-M09-D17,117.33,142.11,195.47,44.99,6.71,8.29,75.52,1.1,41.71,290.83,353.84,216.52,373.09,193.81,41.25,21.94,147.2,42.81,49.51,45.76,71.21,118.31,105.32,3.14,28.99
Y5-M09-D18,117.52,142.82,192.67,44.93,6.45,8.46,73.97,1.11,43.01,295.09,361.76,212.24,381.03,196.45,39.85,21.77,149.61,43.36,52.43,46.37,69.81,117.86,102.48,3.08,27.51
Y5-M09-D21,117.08,144.65,198.3,45.42,6.16,8.34,76.61,1.15,43.6,275.67,372.35,219.65,391.54,197.02,40.63,22.05,148.87,42.86,52.16,47.33,70.34,113.31,99.83,2.99,26.87
Y5-M09-D22,118.28,146.31,203.9,45.4,6.53,8.24,80.37,1.17,43.73,287.36,360.37,220.92,393.53,201.4,41.24,22.48,145.85,41.58,52.22,47.74,68.73,113.79,97.97,2.9,28.78
Y5-M09-D23,118.89,146.99,212.28,43.75,6.51,8.49,79.84,1.28,42.13,267.89,350.32,220.49,388.03,194.88,39.99,22.26,144.31,40.81,51.36,46.79,69.1,107.48,100.59,2.89,28.48
Y5-M09-D24,119.31,147.34,205.92,45.64,6.73,8.44,79.13,1.22,39.7,280.74,341.23,221.59,387.6,197.86,40.31,22.4,143.05,40.09,51.53,46.75,68.08,107.35,98.71,2.76,27.87
Y5-M09-D25,119.95,148.11,206.75,45.22,6.96,8.06,77.54,1.25,41.44,294.96,346.7,219.75,380.6,203.5,40.53,22.12,141.11,39.43,50.46,46.44,69.33,115.12,99.58,2.8,27.7
Y5-M09-D28,117.66,146.99,202.37,42.43,6.43,7.75,79.05,1.3,41.64,299.18,347.84,216.25,375.84,203.77,40.1,22.36,140.82,39.37,51.97,47.63,69.74,115.89,99.82,2.63,25.97
Y5-M09-D29,114.33,148.02,203.71,41.74,6.06,8.5,78.71,1.36,42.39,310.88,350.87,218.4,386.66,193.59,40.28,22.45,141.09,37.81,51.54,48.19,71.86,116.39,98.88,2.57,25.49
Y5-M09-D30,113.6,147.48,207.21,42.04,6.03,8.45,75.77,1.39,43.33,309.33,341.82,218.61,386.49,189.9,39.15,22.78,142.13,37.17,52.74,48.75,73.23,116.92,102.99,2.61,25.2
Y5-M10-D01,112.99,147.74,205.55,41.82,6.01,8.8,73.86,1.54,43.14,305.23,327.12,215.14,381.22,186.6,38.56,22.65,144.8,38.01,54.89,48.64,75.2,111.5,100.24,2.57,24.55
Y5-M10-D02,112.05,147.09,207.32,40.53,6.17,9.05,70.67,1.51,41.57,305.11,338.47,211.34,382.55,182.31,39.07,22.39,144.0,37.51,53.62,49.79,75.2,113.67,101.61,2.6,24.79
Y5-M10-D05,110.87,146.84,216.79,40.23,6.27,8.83,71.13,1.52,42.02,303.17,327.72,205.18,383.81,185.61,38.22,22.46,142.29,37.22,54.47,49.78,73.91,109.56,101.52,2.62,26.77
Y5-M10-D06,109.56,146.23,208.36,39.35,5.98,8.36,72.85,1.48,40.83,300.7,331.88,203.21,385.51,183.23,37.54,22.28,143.28,37.38,52.65,50.52,75.28,108.75,100.61,2.73,26.39
Y5-M10-D07,109.03,147.9,207.65,39.93,6.17,8.67,72.09,1.46,41.03,293.86,329.1,208.37,385.42,182.66,38.3,22.6,145.3,38.51,54.23,50.65,74.75,111.71,98.66,2.8,26.5
Y5-M10-D08,107.06,147.75,209.37,39.72,6.17,8.85,71.18,1.44,40.49,302.7,334.33,211.12,374.74,178.47,36.93,22.5,145.44,38.29,52.77,49.97,73.54,106.91,101.44,2.8,26.43
Y5-M10-D09,109.05,146.08,214.52,41.02,6.32,8.75,67.08,1.35,40.02,286.41,344.2,211.12,370.71,174.79,38.19,22.32,146.25,37.82,52.18,50.26,74.63,108.52,104.72,2.75,27.07
Y5-M10-D12,109.26,142.83,211.29,42.1,6.08,8.44,67.45,1.41,38.46,289.94,351.34,216.76,383.24,182.02,38.21,22.37,143.1,37.63,51.47,49.56,72.5,109.27,104.47,2.8,27.08
Y5-M10-D13,110.84,144.12,214.29,43.12,5.95,7.95,67.09,1.46,38.54,286.19,366.17,219.85,377.13,181.87,36.62,22.37,140.79,36.4,49.63,49.11,72.4,117.42,106.95,2.78,28.62
Y5-M10-D14,112.59,144.25,223.11,43.97,6.19,8.13,68.51,1.35,38.05,293.87,349.51,218.91,385.73,177.19,36.57,22.19,144.38,36.45,51.49,47.92,72.17,121.3,106.19,2.66,29.49
Y5-M10-D15,109.53,142.54,218.47,41.05,5.9,7.7,68.82,1.29,36.3,276.78,344.23,219.64,392.71,172.71,37.55,22.12,142.92,37.46,51.01,47.56,73.4,121.76,107.52,2.51,29.47
Y5-M10-D16,110.68,143.15,225.34,41.51,6.02,7.76,65.67,1.2,34.83,269.0,341.98,225.4,400.97,174.96,38.31,22.18,143.37,37.75,50.92,47.8,74.04,125.98,108.93,2.5,31.01
Y5-M10-D19,110.88,143.42,226.05,41.08,6.36,7.92,64.82,1.14,34.45,265.45,354.78,228.37,399.83,173.23,39.28,22.32,140.24,36.62,51.77,46.97,73.67,127.3,110.16,2.52,31.5
Y5-M10-D20,112.07,143.06,221.7,40.88,6.47,7.99,65.89,1.14,35.41,273.34,344.96,225.31,404.53,167.9,39.26,22.12,141.37,36.77,50.94,48.36,72.2,126.83,110.31,2.58,30.94
Y5-M10-D21,109.78,142.31,219.12,41.09,6.17,7.72,66.1,1.18,35.13,276.72,342.4,231.3,413.27,165.12,39.67,22.18,144.82,38.64,50.58,48.87,73.1,118.67,111.86,2.58,30.1
Y5-M10-D22,107.23,141.44,225.5,40.14,6.18,7.35,66.69,1.18,33.65,275.39,348.78,229.57,423.36,166.89,39.95,22.29,147.71,39.52,48.69,49.31,74.01,119.57,113.65,2.5,28.66
Y5-M10-D23,106.95,139.63,219.34,39.58,6.44,7.34,66.15,1.23,34.49,276.15,339.63,229.43,424.01,170.68,40.0,22.59,148.52,41.56,48.42,49.3,74.1,125.78,117.53,2.73,27.92
Y5-M10-D26,106.74,139.37,225.6,39.85,6.54,6.9,64.24,1.23,34.25,275.09,340.05,228.93,411.6,166.95,38.96,22.29,144.54,39.57,48.88,50.17,75.02,126.47,116.96,2.74,28.65
Y5-M10-D27,106.41,140.06,227.48,39.07,6.44,6.44,63.73,1.25,32.38,277.5,339.38,217.9,393.89,168.57,37.39,22.37,145.61,41.11,49.49,50.67,73.97,119.66,118.38,2.72,29.3
Y5-M10-D28,105.17,141.18,232.04,37.24,6.58,6.48,62.78,1.31,32.45,292.73,357.03,214.36,391.34,173.27,36.81,22.71,147.7,42.61,50.65,51.9,74.42,121.22,118.29,2.78,31.12
Y5-M10-D29,106.25,140.84,235.11,37.52,6.49,6.46,64.93,1.32,33.26,292.92,372.18,218.75,390.93,175.53,37.07,22.94,148.56,43.51,51.68,52.33,71.71,120.02,114.48,2.78,29.46
Y5-M10-D30,105.93,140.54,230.83,37.8,6.68,6.57,63.66,1.4,35.73,297.61,386.54,219.29,390.81,182.69,36.88,22.68,150.96,42.52,53.61,53.1,71.57,124.87,116.85,2.8,31.76
Y5-M11-D02,104.09,138.99,233.01,37.73,6.54,6.46,61.81,1.43,35.29,280.8,350.68,208.23,373.14,189.1,36.67,22.63,149.42,41.4,54.1,51.62,68.37,120.73,115.18,2.66,31.61
Y5-M11-D03,104.11,137.71,235.73,37.88,6.34,6.02,60.66,1.36,36.42,279.64,366.14,216.19,365.11,178.64,36.27,22.48,148.72,40.99,53.15,50.88,68.52,119.35,115.65,2.59,32.05
Y5-M11-D04,104.77,140.35,242.19,37.85,6.57,6.05,63.43,1.36,37.62,288.32,378.47,217.43,367.97,176.03,36.53,22.23,144.28,39.24,53.34,50.13,65.02,116.2,116.84,2.6,32.43
Y5-M11-D05,105.62,141.09,258.46,38.34,7.2,5.88,63.51,1.28,37.67,264.2,391.42,212.46,364.68,171.06,36.85,21.89,144.7,40.89,54.84,50.19,64.32,110.36,114.11,2.62,30.8
Y5-M11-D06,105.77,143.76,257.72,38.71,7.34,5.8,64.53,1.28,38.47,260.54,378.4,210.98,352.44,168.39,36.15,21.89,143.75,40.44,54.35,50.12,63.82,107.77,115.44,2.6,29.08
Y5-M11-D09,106.21,144.23,270.91,39.61,7.84,5.88,67.2,1.38,38.92,272.59,382.64,215.94,346.01,164.88,35.83,21.93,146.98,40.23,52.93,51.54,65.04,113.95,117.84,2.59,31.33
Y5-M11-D10,104.73,143.8,270.55,40.18,7.99,5.94,65.0,1.28,37.12,270.78,348.6,217.12,346.64,161.38,36.52,21.77,147.62,38.04,54.5,51.23,64.93,121.11,118.39,2.65,31.18
Y5-M11-D11,104.96,144.95,280.51,40.64,8.01,5.93,62.96,1.3,38.01,268.05,357.65,214.37,345.79,157.65,36.79,21.81,145.59,39.25,55.12,50.25,64.49,115.4,119.82,2.63,30.54
Y5-M11-D12,106.64,146.79,285.38,42.35,7.93,5.97,61.6,1.27,36.2,273.31,345.79,218.35,343.89,153.99,36.03,22.04,144.77,40.01,59.11,51.37,65.65,118.96,120.97,2.67,30.11
Y5-M11-D13,105.17,145.38,271.83,42.87,7.55,5.9,60.57,1.3,36.17,288.98,329.22,227.53,354.15,154.08,35.57,22.25,143.08,39.97,60.65,51.22,67.18,119.58,122.72,2.66,30.72
Y5-M11-D16,102.1,145.38,278.88,43.82,7.43,6.03,62.09,1.37,36.55,297.6,324.31,215.82,363.09,151.83,35.24,22.36,144.08,42.38,63.95,49.95,66.08,123.36,120.51,2.59,32.28
Y5-M11-D17,100.8,146.41,275.32,42.34,7.65,6.39,59.76,1.53,34.73,290.12,324.21,216.74,367.57,153.22,36.68,22.28,147.16,42.98,64.74,49.45,66.19,127.06,119.11,2.58,33.99
Y5-M11-D18,101.54,147.58,275.45,40.44,7.63,6.2,59.62,1.49,34.06,286.64,312.62,219.71,380.94,149.64,36.84,22.16,144.12,42.16,66.2,48.47,66.88,124.42,120.14,2.56,35.0
Y5-M11-D19,102.51,146.12,272.38,39.32,7.68,5.83,59.52,1.57,33.36,279.73,311.83,230.96,394.36,149.76,39.26,21.95,144.58,40.98,66.23,48.64,66.73,128.22,123.7,2.67,34.53
Y5-M11-D20,102.51,144.57,280.22,39.08,7.96,5.91,60.44,1.63,33.11,288.36,318.94,231.96,403.66,151.27,38.62,22.04,145.08,42.1,68.38,48.92,65.47,126.81,122.23,2.71,33.67
Y5-M11-D23,102.86,146.15,270.33,36.78,7.87,5.88,60.53,1.69,34.32,278.0,310.86,228.5,394.07,147.07,38.48,21.9,144.2,42.17,68.44,49.83,65.6,127.1,120.91,2.69,34.48
Y5-M11-D24,102.18,145.04,276.86,36.96,7.99,5.85,61.45,1.7,33.3,271.24,331.18,229.61,399.05,149.81,38.5,22.32,147.49,42.52,70.14,50.42,66.02,121.6,115.36,2.71,34.19
Y5-M11-D25,101.75,145.71,271.19,36.94,8.09,5.94,61.37,1.75,33.09,273.44,323.04,237.84,387.16,139.37,38.64,22.44,145.86,42.6,71.95,50.83,65.82,121.63,110.79,2.64,33.0
Y5-M11-D26,103.93,147.36,288.22,37.85,8.83,5.92,58.64,1.84,32.67,260.86,309.63,241.17,398.29,146.45,39.74,22.62,143.26,42.29,72.39,50.22,63.19,114.2,111.37,2.52,33.93
Y5-M11-D27,103.63,146.63,287.38,36.23,8.44,5.71,58.12,1.77,32.55,273.43,338.25,239.34,404.23,148.61,41.26,22.62,144.36,41.27,71.27,50.45,63.67,120.87,115.01,2.43,35.14
Y5-M11-D30,103.02,148.42,283.68,34.03,8.3,5.82,57.34,1.82,31.57,274.9,337.06,241.91,401.84,148.24,43.82,22.31,145.11,41.43,73.86,51.24,63.54,123.29,114.82,2.43,34.84
Y5-M12-D01,105.74,148.08,282.9,35.05,8.36,5.91,57.59,1.94,31.71,276.7,320.48,241.79,394.46,141.32,42.1,22.23,145.51,42.34,72.48,50.28,63.58,121.24,117.54,2.44,33.82
Y5-M12-D02,106.08,148.09,274.8,36.76,8.22,6.02,59.63,2.09,32.45,281.74,314.76,245.13,382.87,140.95,41.79,22.16,146.25,42.98,75.2,50.13,62.63,116.78,115.84,2.58,34.9
Y5-M12-D03,108.18,150.2,269.32,39.03,8.11,6.14,60.25,2.04,31.97,283.62,315.86,237.48,384.4,134.74,41.66,21.89,145.0,42.6,75.74,50.59,58.81,109.68,117.3,2.49,34.66
Y5-M12-D04,106.46,148.73,272.37,36.95,8.35,5.81,59.37,2.05,31.61,274.93,320.62,232.56,382.3,135.66,41.24,21.65,145.68,40.62,73.11,50.5,61.13,104.33,116.23,2.49,35.8
Y5-M12-D07,107.42,148.09,273.07,36.19,8.54,5.92,59.6,2.1,31.94,278.3,325.62,242.9,381.18,134.35,40.12,21.52,146.74,39.88,72.7,50.29,61.65,95.78,115.87,2.47,36.86
Y5-M12-D08,106.76,148.91,275.9,37.72,8.83,6.14,62.66,2.15,32.5,285.48,293.82,232.25,348.95,133.04,39.4,21.29,143.34,37.99,72.29,49.34,59.97,98.26,118.0,2.44,38.15
Y5-M12-D09,104.13,146.26,264.33,38.72,8.17,6.39,64.55,2.06,33.34,270.9,299.08,232.85,352.93,130.54,40.12,21.34,143.74,36.98,71.61,49.1,59.55,96.24,117.39,2.49,35.87
Y5-M12-D10,101.43,144.99,267.94,37.86,8.5,6.6,64.79,2.11,34.72,277.71,297.73,228.96,343.64,132.49,38.92,21.1,140.96,36.31,69.92,47.95,58.6,98.74,118.92,2.33,37.38
Y5-M12-D11,102.92,150.92,268.32,38.32,8.75,6.38,63.29,1.99,33.96,281.64,285.91,223.11,345.37,131.76,38.85,21.04,140.79,36.64,73.12,50.1,58.69,93.85,118.5,2.24,35.98
Y5-M12-D14,103.36,151.29,270.21,38.41,9.01,6.13,62.49,2.03,33.68,268.14,283.79,230.09,341.47,134.7,38.53,20.7,141.06,35.21,70.1,49.52,57.68,87.21,119.72,2.19,36.5
Y5-M12-D15,105.2,150.38,284.85,38.48,9.76,6.23,62.5,1.94,33.14,266.16,281.52,225.57,337.46,125.76,36.72,20.72,143.69,36.67,68.88,49.41,56.85,87.87,121.3,2.21,37.1
Y5-M12-D16,99.34,148.28,274.68,39.22,9.54,5.96,62.21,1.91,31.35,265.8,267.96,229.13,339.98,137.31,35.78,20.35,142.07,34.73,67.18,49.1,56.37,86.96,127.9,2.3,40.29
Y5-M12-D17,99.55,148.57,276.86,39.77,9.05,5.75,64.43,1.97,30.22,271.5,272.38,223.86,323.91,139.59,35.35,20.38,137.99,34.53,65.9,49.12,57.89,91.88,129.62,2.45,39.9
Y5-M12-D18,101.62,147.75,276.17,36.7,9.25,5.91,62.41,1.94,30.07,279.38,262.71,218.2,317.09,143.11,36.58,20.33,139.12,36.37,65.76,49.0,58.32,94.96,127.23,2.52,38.68
Y5-M12-D21,102.09,150.01,269.24,37.69,9.32,5.66,63.52,1.93,28.37,277.16,264.92,217.13,323.59,137.95,37.0,20.39,138.34,37.02,64.43,48.47,57.78,92.79,124.11,2.63,36.62
Y5-M12-D22,102.66,151.76,261.74,35.75,9.28,5.68,65.24,1.97,27.48,266.61,253.39,222.65,318.38,129.54,35.54,20.38,142.93,37.31,65.45,49.58,59.49,92.68,126.25,2.7,37.68
Y5-M12-D23,106.13,152.39,284.73,37.58,9.83,5.52,65.78,1.95,27.85,277.04,266.19,217.77,312.69,128.18,35.46,20.65,146.92,38.79,68.16,49.64,60.52,96.28,128.33,2.76,37.51
Y5-M12-D24,105.95,153.3,296.0,37.32,10.6,5.71,64.89,2.0,28.88,281.44,291.85,212.83,303.28,129.17,35.79,20.54,145.27,38.29,67.36,49.59,57.31,96.69,129.69,2.61,36.5
Y5-M12-D25,104.11,152.96,285.05,36.23,10.4,6.02,64.41,1.97,32.08,285.51,280.19,215.28,301.78,130.0,36.59,20.3,142.52,39.69,65.56,49.04,56.94,96.88,130.27,2.61,35.25
Y5-M12-D28,105.05,150.44,266.99,37.33,10.74,6.09,64.48,1.98,31.11,278.25,272.21,213.52,307.05,138.09,37.8,19.92,139.14,38.7,64.22,48.67,57.94,97.87,133.37,2.61,34.1
Y5-M12-D29,105.23,148.45,275.41,36.44,10.73,6.15,64.23,1.92,31.3,261.99,288.9,219.34,318.65,142.92,38.23,19.85,140.23,39.99,64.62,48.36,59.36,93.29,134.55,2.63,35.49
Y5-M12-D30,104.89,149.23,282.43,35.8,10.62,5.83,61.89,1.76,32.29,252.71,295.53,219.53,302.05,136.37,36.85,19.69,140.33,39.56,65.97,47.7,59.64,99.44,135.99,2.67,35.56
Y5-M12-D31,102.03,146.77,266.95,34.86,9.76,5.91,60.4,1.67,32.34,241.99,291.88,229.5,308.91,143.21,37.7,20.14,140.79,41.04,67.34,49.93,60.37,98.42,141.59,2.74,36.74
Y6-M01-D01,101.28,146.96,256.46,35.47,9.82,5.99,59.29,1.59,33.37,245.57,284.72,227.71,310.07,142.14,36.74,20.37,139.23,40.57,67.02,49.47,62.74,108.57,142.96,2.77,37.62
Y6-M01-D04,102.4,147.56,245.24,36.42,9.34,5.54,57.55,1.48,32.41,244.02,293.32,231.95,318.28,145.44,36.74,20.71,138.16,41.52,67.61,51.15,62.28,109.12,141.06,2.74,36.05
Y6-M01-D05,100.84,147.19,232.86,34.74,9.19,5.63,58.03,1.43,32.36,242.08,309.0,238.22,320.65,146.61,36.89,20.99,140.47,42.11,69.69,51.58,61.34,118.53,144.93,2.79,36.0
Y6-M01-D06,97.91,149.0,235.89,33.45,8.61,5.42,58.38,1.43,29.85,239.86,308.27,246.24,324.73,151.66,36.31,21.15,145.33,42.63,70.22,51.1,60.87,117.8,142.43,2.71,36.05
Y6-M01-D07,99.66,154.31,243.86,34.15,8.57,5.08,57.08,1.41,29.23,231.59,286.02,259.02,325.75,155.5,36.87,21.5,145.14,43.01,69.29,53.0,61.37,114.45,144.9,2.86,38.04
Y6-M01-D08,99.42,154.74,243.88,35.7,8.25,5.07,58.47,1.5,27.85,231.38,277.17,253.25,328.98,151.88,36.65,21.48,144.56,42.26,69.1,52.16,62.0,116.91,144.0,2.9,41.05
Y6-M01-D11,103.36,160.42,254.95,36.16,8.47,5.37,57.32,1.54,29.18,230.66,270.38,252.7,327.67,142.43,37.46,21.69,144.22,42.47,66.66,52.65,64.03,129.84,142.56,2.99,43.3
Y6-M01-D12,103.28,159.59,267.66,33.09,8.27,5.51,57.12,1.42,29.27,236.97,265.89,254.79,330.63,143.53,37.28,21.77,147.07,44.39,67.12,52.96,64.02,132.7,138.88,2.99,42.45
Y6-M01-D13,102.22,159.75,290.13,34.31,8.6,5.42,56.86,1.44,31.07,224.12,266.9,253.6,327.43,150.69,36.93,21.75,151.9,44.99,68.51,52.53,62.33,127.52,136.24,2.87,40.31
Y6-M01-D14,100.3,158.4,297.63,34.08,8.41,5.69,55.16,1.47,30.75,225.96,261.08,257.51,321.94,151.13,36.89,21.69,150.39,45.2,68.82,51.49,62.45,117.17,131.78,2.63,39.55
Y6-M01-D15,100.33,159.45,305.97,34.43,8.17,5.7,53.82,1.57,30.09,234.35,260.36,259.76,320.88,151.15,36.65,21.76,149.71,44.78,69.99,52.12,65.91,131.27,131.6,2.61,40.03
Y6-M01-D18,96.32,164.5,303.46,33.1,8.3,5.35,53.33,1.41,28.73,226.39,244.2,261.77,310.81,140.98,36.16,21.63,151.22,44.94,71.13,52.45,64.91,129.57,128.31,2.62,41.06
Y6-M01-D19,96.1,166.97,311.43,32.57,8.48,4.98,53.3,1.31,27.67,224.49,231.37,260.19,315.24,140.89,34.94,21.82,151.76,46.3,73.68,52.39,65.33,137.25,131.6,2.76,41.88
Y6-M01-D20,93.99,165.48,301.4,32.65,8.63,5.27,53.72,1.36,28.3,226.44,235.99,266.48,320.63,145.54,35.2,21.61,150.77,44.16,72.88,52.08,65.35,138.27,133.21,2.8,42.86
Y6-M01-D21,92.42,163.78,292.83,32.19,7.58,5.23,54.47,1.33,27.61,232.28,250.42,268.35,319.57,142.31,36.29,21.86,151.44,46.46,75.47,52.65,66.4,145.61,135.49,2.86,41.49
Y6-M01-D22,96.89,165.71,318.3,33.67,7.54,5.37,56.47,1.36,26.72,223.44,257.33,283.56,327.15,155.7,37.03,21.93,151.28,46.6,78.35,55.3,66.15,134.97,133.54,2.73,40.05
Y6-M01-D25,98.74,164.69,319.99,33.81,7.49,5.2,56.89,1.31,26.14,227.72,260.14,292.21,345.43,161.81,38.13,21.5,152.22,43.17,77.36,53.84,65.81,130.22,133.97,2.82,37.54
Y6-M01-D26,100.01,163.57,305.42,34.36,7.33,5.11,53.1,1.32,27.82,214.18,252.05,297.49,349.84,156.2,38.92,21.76,151.61,42.39,75.56,52.96,63.95,136.99,129.89,2.93,36.66
Y6-M01-D27,103.01,164.57,322.55,33.61,7.98,5.09,54.93,1.43,28.02,206.89,267.92,296.9,349.99,159.36,40.34,21.75,152.07,43.63,74.63,52.23,64.56,135.84,130.47,3.01,39.45
Y6-M01-D28,101.16,160.38,300.04,31.21,7.28,4.89,56.09,1.42,28.78,210.39,265.46,286.1,338.24,160.52,40.76,21.58,154.51,43.31,77.48,51.01,64.74,134.74,134.13,2.85,37.73
Y6-M01-D29,105.48,162.41,302.59,32.46,7.85,4.93,55.95,1.52,29.52,217.25,276.8,285.89,345.94,164.38,41.83,21.59,152.54,42.99,75.86,50.56,63.97,129.12,132.88,2.78,38.03
Y6-M02-D01,104.34,161.68,307.51,34.33,7.81,4.89,56.62,1.49,29.07,210.71,271.41,280.16,346.23,163.5,41.52,21.57,151.11,42.98,78.08,50.85,63.69,134.84,131.94,2.77,41.0
Y6-M02-D02,106.0,160.13,308.39,36.4,8.03,5.06,57.91,1.49,28.97,210.17,257.08,283.07,336.99,157.65,40.35,21.59,154.52,42.87,80.49,51.68,62.22,128.86,130.08,2.64,40.09
Y6-M02-D03,106.36,159.34,287.36,35.46,7.88,5.19,58.64,1.47,28.58,210.1,274.05,293.08,346.97,164.34,41.15,21.51,155.14,44.58,80.25,52.42,63.21,141.41,130.67,2.7,41.07
Y6-M02-D04,107.55,157.78,281.67,33.42,8.26,5.36,59.25,1.49,29.24,205.02,265.69,287.85,342.99,163.18,40.75,21.2,155.44,46.42,81.82,52.43,62.36,138.9,131.48,2.72,39.79
Y6-M02-D05,104.92,156.37,284.0,34.27,8.22,5.28,61.91,1.5,30.46,208.19,268.13,280.05,347.08,161.99,41.33,21.31,158.44,49.16,83.95,54.61,64.51,141.64,133.81,2.79,39.27
Y6-M02-D08,104.75,160.08,295.59,35.82,8.53,5.18,62.31,1.54,29.17,217.45,269.06,289.13,354.59,168.83,42.52,21.2,161.03,49.82,82.99,55.8,64.89,132.57,133.17,2.84,38.39
Y6-M02-D09,104.56,158.2,280.56,35.68,7.96,4.98,62.76,1.54,29.13,210.52,269.16,287.1,355.29,170.17,41.92,21.6,158.71,50.83,84.97,57.13,66.51,124.14,130.88,2.76,36.82
Y6-M02-D10,101.26,157.56,256.09,35.61,7.03,4.9,64.45,1.64,28.0,211.47,270.33,295.06,354.4,172.82,42.24,21.68,158.75,49.73,86.47,57.85,67.79,121.91,132.3,2.82,37.79
Y6-M02-D11,100.28,159.89,244.97,35.25,6.31,4.79,64.67,1.58,27.43,210.0,278.13,301.03,358.28,170.22,42.64,22.11,163.01,49.87,89.64,58.86,69.34,130.33,136.73,2.93,38.0
Y6-M02-D12,101.51,156.89,248.95,34.69,6.77,4.91,66.07,1.52,26.27,205.27,277.2,294.45,358.9,164.82,42.63,22.09,162.83,52.91,89.24,59.25,66.65,135.34,139.33,2.91,36.77
Y6-M02-D15,101.02,156.48,244.44,34.83,6.91,5.13,68.04,1.52,25.56,201.26,289.71,287.44,357.63,165.86,43.33,21.91,162.34,53.97,88.73,59.51,67.73,135.82,138.92,3.01,38.04
Y6-M02-D16,100.94,157.05,250.84,34.75,6.58,5.2,69.99,1.53,24.69,199.92,292.71,282.98,356.45,169.21,44.01,21.78,159.8,55.23,88.73,57.47,66.78,138.49,139.35,2.98,38.24
